                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8724,                 7.4774,                 4.2695,                  2e-05,                0.00248,                  1e-05,                      0,                 5.6936,                 7.3664,                 4.1771,                 0.0005,                 0.0005,                 0.0005
                      2,                 3.4015,                 4.1939,                 3.4183,                  2e-05,                0.00248,                  1e-05,                      0,                 5.7229,                 6.4117,                 4.2379,              0.0010099,              0.0010099,              0.0010099
                      3,                 2.4264,                 2.3884,                 2.2371,                  3e-05,                0.00248,                  2e-05,                  1e-05,                 4.8661,                 5.6046,                 3.6815,              0.0015095,              0.0015095,              0.0015095
                      4,                 2.1144,                 1.8193,                 1.8751,                0.86196,                0.55076,                0.67945,                0.29823,                 1.9864,                 2.0869,                  1.934,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8988,                 1.5329,                 1.6118,                 0.6355,                0.54037,                0.57505,                0.20837,                 2.3112,                 1.9308,                 1.7931,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.729,                 1.3358,                 1.4626,                0.87321,                0.73576,                 0.8174,                 0.4571,                 1.5652,                 1.3518,                  1.435,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5905,                 1.2078,                 1.3562,                0.90174,                0.82082,                0.87419,                0.49523,                 1.4462,                 1.1444,                 1.3191,               0.001901,               0.001901,               0.001901
                      8,                 1.5727,                  1.145,                 1.3433,                0.91597,                0.79888,                0.87274,                0.51054,                 1.4497,                 1.0982,                 1.2882,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4967,                 1.0573,                 1.2728,                0.94171,                 0.8028,                0.89405,                0.49662,                 1.4255,                 1.0366,                 1.2722,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4219,                 1.0049,                 1.2332,                0.90449,                0.81988,                0.88686,                0.51953,                  1.355,                 1.0428,                  1.229,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.413,                 0.9548,                 1.2405,                 0.9246,                0.85309,                0.90681,                0.58701,                  1.255,                0.90977,                 1.1853,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3756,                0.92601,                 1.1862,                0.89571,                0.87488,                0.90639,                0.58058,                 1.2344,                0.94449,                 1.1759,               0.001802,               0.001802,               0.001802
                     13,                 1.4049,                0.89713,                 1.2214,                0.95097,                0.86708,                0.92026,                0.60506,                 1.1844,                0.79655,                 1.1537,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3209,                0.85139,                 1.1753,                0.94202,                0.86793,                0.92004,                0.57898,                 1.3107,                 0.8126,                 1.1822,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2676,                0.80543,                 1.1499,                0.90627,                0.86478,                0.91333,                 0.5751,                 1.2137,                0.81191,                 1.1575,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2888,                0.82673,                 1.1651,                0.94876,                0.87081,                0.92212,                0.59114,                 1.2068,                0.84105,                 1.1366,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2821,                0.80629,                 1.1338,                0.95269,                0.87555,                0.92833,                0.61476,                 1.1307,                0.74846,                 1.1062,               0.001703,               0.001703,               0.001703
                     18,                 1.2581,                0.79282,                 1.1448,                0.93358,                0.90311,                0.93654,                0.58718,                 1.2099,                0.77147,                 1.1368,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2723,                0.76937,                 1.1341,                0.94899,                0.86584,                0.92367,                0.61781,                 1.1495,                0.82939,                 1.1204,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2369,                0.78076,                 1.1504,                0.92056,                0.89068,                0.92914,                 0.6084,                 1.1733,                0.78788,                 1.1279,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2153,                0.75089,                 1.1165,                0.95684,                0.88136,                0.93226,                0.61964,                 1.1795,                0.77858,                 1.1133,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1684,                0.69514,                 1.0915,                0.96356,                0.88677,                0.93964,                0.64658,                 1.1017,                0.66066,                 1.0889,               0.001604,               0.001604,               0.001604
                     23,                 1.1793,                0.69511,                 1.1059,                0.91419,                0.88075,                0.91975,                0.61831,                 1.1228,                0.71472,                 1.0911,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1667,                0.70278,                 1.0913,                0.96047,                0.90558,                0.94406,                0.66014,                  1.062,                0.65196,                 1.0711,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1643,                0.67223,                 1.1153,                0.95593,                0.90062,                0.94337,                0.65647,                 1.0591,                0.62533,                 1.0666,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1554,                0.65887,                 1.0966,                0.95376,                0.89441,                0.94399,                 0.6475,                 1.0471,                0.63907,                 1.0545,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2699,                0.77416,                 1.1972,                 0.9633,                0.88042,                0.94335,                0.62973,                 1.1751,                0.68951,                 1.1133,               0.001505,               0.001505,               0.001505
                     28,                 1.1831,                0.68022,                 1.1128,                0.96788,                0.88075,                 0.9438,                0.65076,                  1.059,                 0.6471,                 1.0685,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1491,                0.66085,                 1.0835,                0.97224,                0.90807,                0.95065,                0.66066,                 1.0514,                0.60655,                 1.0562,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1242,                0.62477,                 1.0631,                0.95953,                0.91307,                0.95469,                0.66751,                 1.0377,                 0.5873,                 1.0544,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1274,                  0.633,                 1.0883,                0.96786,                0.90807,                0.95436,                0.66245,                 1.0377,                0.59645,                 1.0478,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1024,                0.61639,                 1.0664,                0.97191,                0.90255,                0.95297,                0.68084,                 1.0271,                0.57353,                 1.0537,               0.001406,               0.001406,               0.001406
                     33,                 1.1099,                 0.6113,                 1.0672,                0.98775,                0.90144,                0.95605,                0.68164,                0.99717,                0.56787,                 1.0344,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1649,                0.61506,                 1.0924,                0.97136,                0.92691,                0.95794,                0.66364,                 1.0262,                 0.6002,                 1.0429,              0.0013664,              0.0013664,              0.0013664
                     35,                  1.111,                 0.6057,                 1.0619,                0.97134,                0.92795,                0.96028,                0.67038,                 1.1018,                0.56965,                 1.0661,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1256,                0.60782,                 1.0786,                0.95213,                0.92422,                0.95652,                0.67767,                  1.036,                0.56495,                 1.0459,              0.0013268,              0.0013268,              0.0013268
