                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8902,                 8.3115,                 4.2982,                  2e-05,                0.00253,                  1e-05,                      0,                 5.6804,                 7.8631,                 4.1756,             0.00041675,             0.00041675,             0.00041675
                      2,                  3.581,                 5.1921,                 3.5488,                  2e-05,                0.00253,                  1e-05,                      0,                 5.7099,                 7.3965,                 4.2386,             0.00084175,             0.00084175,             0.00084175
                      3,                 2.7732,                 3.1664,                 2.5371,                  3e-05,                0.00253,                  1e-05,                      0,                 5.6914,                 7.2642,                 4.2798,              0.0012582,              0.0012582,              0.0012582
                      4,                 2.2161,                 2.4361,                 2.1079,                0.96779,                0.19153,                0.48482,                0.23069,                 2.2936,                 3.0416,                 2.2242,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.976,                 2.0378,                 1.7434,                0.74875,                 0.5322,                0.64251,                 0.3092,                 1.9068,                 2.0522,                 1.8127,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.7543,                 1.7172,                 1.5655,                 0.7742,                0.65158,                0.73476,                 0.4067,                 1.6418,                 1.7127,                 1.5425,               0.001601,               0.001601,               0.001601
                      7,                 1.6222,                 1.4801,                 1.4277,                0.92677,                0.74573,                0.84198,                0.48699,                 1.5268,                 1.3859,                 1.4008,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.6166,                 1.4305,                 1.4036,                0.92853,                0.75759,                0.84608,                0.50468,                 1.4323,                 1.2827,                  1.329,               0.001568,               0.001568,               0.001568
                      9,                 1.5288,                   1.29,                 1.3252,                0.83636,                0.76354,                0.83572,                 0.4799,                 1.3702,                 1.2416,                 1.2889,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.4347,                 1.2198,                 1.2746,                0.82683,                0.76906,                0.82649,                0.45172,                  1.492,                 1.2462,                  1.331,               0.001535,               0.001535,               0.001535
                     11,                 1.4506,                  1.186,                 1.2778,                0.89867,                0.78077,                0.85378,                  0.525,                 1.3372,                 1.3827,                 1.2375,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.4145,                 1.1206,                 1.2225,                0.91422,                0.80037,                 0.8626,                0.53346,                 1.2722,                 1.0818,                 1.2082,               0.001502,               0.001502,               0.001502
                     13,                 1.4195,                 1.1061,                 1.2539,                0.85302,                0.78546,                 0.8598,                0.54008,                 1.2553,                 1.0285,                 1.2101,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.3786,                 1.0545,                 1.2125,                0.93994,                0.82254,                0.87861,                0.54167,                 1.3101,                0.98984,                 1.2222,               0.001469,               0.001469,               0.001469
                     15,                 1.3527,                 1.0032,                 1.2009,                 0.8259,                0.78561,                0.85745,                0.52691,                 1.2691,                 1.1232,                 1.1932,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.3426,                0.96751,                 1.1928,                0.92361,                0.81815,                0.87443,                0.56539,                 1.1901,                0.96132,                 1.1517,               0.001436,               0.001436,               0.001436
                     17,                 1.3071,                 0.9378,                 1.1581,                0.91454,                0.83217,                0.88417,                0.57323,                 1.2388,                0.87662,                 1.1571,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.3273,                0.91923,                 1.1848,                0.89711,                0.80564,                0.88586,                0.56543,                 1.2114,                0.96698,                  1.159,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.3153,                0.89246,                 1.1504,                 0.9121,                0.84529,                0.89762,                0.58898,                 1.2229,                0.86199,                 1.1383,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.2329,                0.84451,                 1.1481,                0.94105,                0.84652,                0.90892,                0.60128,                 1.1657,                0.82211,                 1.1333,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.2244,                0.84162,                 1.1233,                0.95567,                0.82785,                0.90034,                0.61611,                 1.1144,                0.85705,                 1.0983,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.2309,                0.82726,                 1.1175,                0.96216,                0.83292,                0.90438,                0.62013,                 1.0836,                0.82317,                 1.0897,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.2019,                0.82867,                 1.1229,                0.92007,                0.83647,                0.90125,                0.57696,                 1.2149,                0.81281,                 1.1369,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1904,                0.78911,                  1.107,                0.95257,                0.83875,                0.90311,                0.60609,                 1.1406,                0.75923,                 1.0986,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.1734,                0.77082,                 1.1226,                0.95997,                0.83799,                0.91746,                0.63241,                 1.0904,                0.74996,                 1.0835,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.1887,                0.75475,                 1.1105,                0.94936,                0.86149,                0.91916,                0.62638,                 1.0771,                0.70777,                 1.0704,              0.0012709,              0.0012709,              0.0012709
                     27,                  1.218,                0.92141,                 1.1977,                0.94098,                0.86549,                0.92212,                0.60536,                 1.1955,                0.71458,                 1.1316,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.1748,                0.76258,                  1.114,                0.93029,                0.85764,                0.91418,                0.61796,                 1.0765,                0.69931,                 1.0722,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.1623,                0.75262,                 1.0978,                0.95214,                0.85133,                0.92152,                0.60889,                 1.1296,                0.70092,                 1.0904,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.1518,                0.72347,                 1.0738,                0.92207,                0.88235,                0.91765,                0.64061,                 1.0526,                0.71091,                 1.0584,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.1589,                0.72739,                 1.0995,                 0.9725,                 0.8641,                0.93005,                 0.6359,                  1.065,                0.66078,                 1.0641,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.1329,                0.70306,                 1.0749,                0.96438,                0.86107,                0.92332,                0.63211,                  1.095,                0.67738,                 1.0739,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.156,                 0.7121,                 1.0835,                0.96411,                0.87312,                0.93201,                0.64766,                 1.0696,                0.63862,                 1.0582,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.1326,                0.67763,                 1.0808,                0.95559,                0.88097,                 0.9329,                0.66979,                 1.0059,                0.59939,                 1.0416,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.1056,                0.65904,                 1.0643,                0.95319,                 0.8709,                0.93044,                0.65457,                 1.0194,                0.62929,                 1.0414,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1201,                0.68666,                 1.0772,                0.95634,                0.87309,                0.92943,                0.66239,                 1.0272,                 0.5976,                 1.0513,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0704,                0.65475,                 1.0567,                0.95854,                0.87873,                 0.9347,                0.66603,                 1.0155,                0.61188,                 1.0463,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0833,                0.66483,                 1.0808,                0.97129,                0.86476,                0.92865,                0.67989,                0.96071,                0.60398,                 1.0195,              0.0010729,              0.0010729,              0.0010729
                     39,                  1.085,                0.65712,                 1.0418,                0.95938,                0.88263,                0.93057,                0.65497,                 1.0169,                0.62848,                 1.0337,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.1074,                0.65458,                 1.0521,                 0.9399,                0.88196,                0.93288,                0.65069,                 1.0477,                0.60604,                 1.0453,              0.0010399,              0.0010399,              0.0010399
