Have_passed,Distance(chick_cam),Width,Height,Diagonal,,Move
0.00897,91.76682692,38,46,59.66573556,,0.897
,,,,,,0
0.00943,91.76682692,38,47,60.44005295,,0.943
,,,,,,0
0.00943,91.76682692,39,47,61.07372594,,0.943
,,,,,,0
0.01353,91.76682692,38,46,59.66573556,,1.353
,,,,,,0
0.01821,91.76682692,39,48,61.84658438,,1.821
,,,,,,0
0.02753,91.76682692,39,47,61.07372594,,2.753
,,,,,,0
0.03312,91.76682692,39,45,59.54829972,,3.312
,,,,,,0
0.03845,91.76682692,39,48,61.84658438,,3.845
,,,,,,0
0.04447,91.76682692,40,47,61.7170965,,4.447
,,,,,,0
0.04447,91.76682692,40,48,62.48199741,,4.447
,,,,,,0
0.05076,91.76682692,39,49,62.62587325,,5.076
,,,,,,0
0.05642,91.76682692,40,49,63.2534584,,5.642
,,,,,,0
0.06233,91.76682692,40,49,63.2534584,,6.233
,,,,,,0
0.06961,91.76682692,41,50,64.66065264,,6.961
,,,,,,0
0.07578,91.76682692,40,51,64.81512169,,7.578
,,,,,,0
0.0803,91.76682692,41,51,65.4369926,,8.03
,,,,,,0
0.08548,91.76682692,41,50,64.66065264,,8.548
,,,,,,0
0.08548,91.76682692,41,51,65.4369926,,8.548
,,,,,,0
0.09528,91.76682692,41,51,65.4369926,,9.528
,,,,,,0
0.09528,91.76682692,42,51,66.06814664,,9.528
,,,,,,0
0.10227,91.76682692,42,51,66.06814664,,10.227
,,,,,,0
0.10735,91.76682692,42,51,66.06814664,,10.735
,,,,,,0
0.11461,91.76682692,43,52,67.47592163,,11.461
,,,,,,0
0.12183,91.76682692,43,52,67.47592163,,12.183
,,,,,,0
0.12802,91.76682692,43,53,68.24954212,,12.802
,,,,,,0
0.13621,91.76682692,43,53,68.24954212,,13.621
,,,,,,0
0.14322,91.76682692,44,54,69.65629907,,14.322
,,,,,,0
0.14842,91.76682692,45,53,69.52697318,,14.842
,,,,,,0
0.15378,91.76682692,44,55,70.43436661,,15.378
,,,,,,0
0.15906,91.76682692,45,55,71.06335202,,15.906
,,,,,,0
0.16309,91.76682692,45,55,71.06335202,,16.309
,,,,,,0
0.16788,91.76682692,46,55,71.70076708,,16.788
,,,,,,0
0.18586,101.8293269,47,56,73.10950691,,18.586
,,,,,,0
0.1847,101.8293269,47,57,73.87827827,,18.47
,,,,,,0
0.1847,101.8293269,48,57,74.51845409,,18.47
,,,,,,0
0.18692,101.8293269,48,57,74.51845409,,18.692
,,,,,,0
0.19001,101.8293269,47,57,73.87827827,,19.001
,,,,,,0
0.19417,101.8293269,47,57,73.87827827,,19.417
,,,,,,0
0.19903,101.8293269,48,58,75.2861209,,19.903
,,,,,,0
0.20393,101.8293269,48,57,74.51845409,,20.393
,,,,,,0
0.20912,101.8293269,48,59,76.05918748,,20.912
,,,,,,0
0.2139,101.8293269,49,59,76.69419796,,21.39
,,,,,,0
0.2139,101.8293269,49,59,76.69419796,,21.39
,,,,,,0
0.22901,84.83333333,51,60,78.74642849,,22.901
,,,,,,0
0.22876,84.83333333,51,60,78.74642849,,22.876
,,,,,,0
0.22876,84.83333333,51,60,78.74642849,,22.876
,,,,,,0
0.23006,84.83333333,51,60,78.74642849,,23.006
,,,,,,0
0.23275,84.83333333,51,62,80.28075735,,23.275
,,,,,,0
0.23608,84.83333333,51,61,79.51100553,,23.608
,,,,,,0
0.24029,84.83333333,51,62,80.28075735,,24.029
,,,,,,0
0.24523,84.83333333,52,61,80.15609771,,24.523
,,,,,,0
0.2511,84.83333333,52,63,81.68843247,,25.11
,,,,,,0
0.25948,84.83333333,53,62,81.56592426,,25.948
,,,,,,0
0.25948,84.83333333,53,63,82.32860985,,25.948
,,,,,,0
0.26499,84.83333333,53,63,82.32860985,,26.499
,,,,,,0
0.27135,84.83333333,52,64,82.46211251,,27.135
,,,,,,0
0.27897,84.83333333,54,64,83.73768566,,27.897
,,,,,,0
0.28546,84.83333333,53,65,83.86894539,,28.546
,,,,,,0
0.30061,73.6969112,55,67,86.68333173,,30.061
,,,,,,0
0.29993,73.6969112,55,66,85.91274643,,29.993
,,,,,,0
0.31107,73.6969112,56,68,88.09086218,,31.107
,,,,,,0
0.31107,73.6969112,57,68,88.72992731,,31.107
